    PID TTY          TIME CMD
  96816 ?        00:00:10 msedge
  96849 ?        00:01:29 msedge
  96876 ?        00:00:01 msedge
  97015 ?        00:00:01 msedge
  97365 ?        00:00:00 kworker/4:0-events
  97408 ?        00:00:00 msedge
  97417 ?        00:00:00 msedge
  97428 ?        00:00:00 msedge
  97434 ?        00:00:02 msedge
  97477 ?        00:00:00 msedge
  97535 ?        00:00:00 msedge
  97850 ?        00:00:00 kworker/u40:4-writeback
  97976 ?        00:00:01 kworker/u40:1-events_power_efficient
  98005 ?        00:00:01 kworker/u40:2-events_power_efficient
  98259 ?        00:00:00 kworker/u40:0-writeback
  98260 ?        00:00:26 kworker/2:1-mm_percpu_wq
  98261 ?        00:00:00 kworker/u41:2
  98316 ?        00:00:00 kworker/6:1-events
  98318 ?        00:00:00 kworker/12:1
  98319 ?        00:00:00 kworker/13:2
  98337 ?        00:00:00 kworker/u40:3
  98338 ?        00:00:00 kworker/u40:5
  98365 pts/10   00:00:00 bash
  98383 ?        00:00:03 code
  98425 ?        00:00:01 kworker/2:0-events
  98434 ?        00:00:00 tracker-extract
  98442 ?        00:00:00 systemd-udevd
  98443 pts/2    00:00:00 ps
  98444 pts/2    00:00:00 sort
